Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not_stated_income,Not_applicable_income,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated_rent,Not applicable_rent
2000,204,3297,502,1112,1978,2201,1915,1599,1638,1676,1028,977,677,1456,1796,4115,1251,202,27,4,25,22,29,24,33,24,26,16,36,12,39,54,114,59,612,1024,708,1021,759,1095,351,7526
2006,9,267,275,291,98,47,31,5,3,11,9,9,3,4,11,156,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2007,110,2300,325,494,536,525,494,429,442,483,278,255,180,342,196,1072,375,40,15,5,44,23,30,39,39,24,21,11,37,42,55,100,64,38,329,459,189,177,89,151,79,1584
2008,104,2675,353,525,591,609,639,604,676,740,547,533,405,588,359,1359,407,45,14,12,80,10,34,27,58,51,32,17,45,60,62,42,227,232,461,738,385,212,130,268,105,2268
2009,71,969,227,391,536,520,578,644,831,938,761,702,587,1347,1271,1254,1187,69,22,13,104,31,39,28,52,36,37,25,42,18,28,19,58,27,395,484,672,365,190,447,122,3129
2010,96,1207,327,918,1317,1408,1212,1203,1662,2113,1837,1817,1374,2999,2769,4114,1347,81,68,66,473,75,103,55,126,83,116,85,218,120,215,171,269,158,1129,1173,958,654,387,784,217,8315
2011,65,751,232,453,642,841,787,916,1191,1688,1394,1442,1096,2151,2085,4677,788,75,19,34,192,34,67,37,91,53,105,103,345,245,426,302,411,206,956,794,679,442,213,449,139,6695
2015,31,420,156,247,291,305,400,432,663,895,875,828,625,1128,690,823,1110,20,13,6,29,7,35,15,25,16,37,15,30,30,38,21,55,30,462,547,332,156,109,131,40,2836
2016,43,726,222,688,895,849,551,618,801,1000,937,868,616,1163,747,1572,911,58,124,81,514,71,103,47,94,25,30,30,75,53,83,46,94,65,340,507,410,250,159,252,139,3586
2017,155,3564,511,1133,1339,1175,946,1004,1414,1779,1518,1489,1080,2002,954,2791,1829,125,177,142,744,140,203,106,120,45,68,37,80,34,74,34,83,44,895,1089,1655,737,211,279,212,5848
